-,ꢨ,ꢨꣁꢮ꣄ꢥꢶ ꢦꢡ꣄ꢬꢶꢒꣁ,sourashtra,,,'ꢨꢮꢥꢦꢡꢬꢒ':1 'bovnipatriko':2 'bŏvnipatrikŏ':3 'invitation':4 'அழ':5 'தழ':6,abstract|concept|idea,ब॑व्निपत्रिका॑|பொ3வ்னி பத்ரிகொ|bo'vni patriko'|bOvni patrikO|bŏvni patrikŏ|boʋn̪ɪ pət̪ɾɪko,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,invitation,english,,english,,abstract|concept|idea,,noun,
^,,அழைப்பிதழ்,tamil,,tamil,'அழபபதழ':1 'invitation':2 'அழ':3 'தழ':4,abstract|concept|idea,பொ3வ்னி பத்ரிகொ,noun,
-,ꢃ,ꢃꢗ꣄ꢗꢬ꣄ꢫꢸ,sourashtra,,,'ꢃꢗꢗꢬꢫ':1 'aachcharyu':2 'accaryu':3 'āccaryu':4 'surprise':5 'wonder':6 'அற':7 'தம':8 'ஆச':9 'சர':10 'யம':11,abstract|concept|idea,आच्चरयु|ஆச்சர்யு|aachcharyu|Accaryu|āccaryu|ɑːt͡ʃt͡ʃəɾju,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,wonder,english,,english,,abstract|concept|idea,,noun,
^,,அற்புதம்,tamil,,tamil,'அறபதம':1 'அற':2 'தம':3,abstract|concept|idea,ஆச்சர்யு,noun,
^,,ஆச்சரியம்,tamil,,tamil,'ஆசசரயம':1 'ஆச':2 'சர':3 'யம':4,abstract|concept|idea,ஆச்சர்யு,noun,
-,ꢮ,ꢮꢶꢣ꣄ꢮꢵꢥ꣄,sourashtra,,,'ꢮꢣꢮꢥ':1 'vidvaan':2 'vidvan':3 'vidvān':4 'scholar':5 'அற':6 'ஞர':7,abstract|concept|idea,विद्वान|வித்3வான்|vidvaan|vidvAn|vidvān|ʋɪd̪ʋɑːn̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,scholar,english,,english,,abstract|concept|idea,,noun,
^,,அறிஞர்,tamil,,tamil,'அறஞர':1 'scholar':2 'அற':3 'ஞர':4,abstract|concept|idea,வித்3வான்,noun,
-,ꢦ,ꢦꢠ꣄ꢞꢶꢡ꣄,sourashtra,,,'ꢦꢠꢞꢡ':1 'pandit':2 'paṇḍit':3 'scholar':4 'அற':5 'ஞர':6,abstract|concept|idea,पण्डित|பண்டி3த்|pand'it|paNDit|paṇḍit|pəɳɖɪt̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
-,ꢦ,ꢦꢬꢶꢗꢫ꣄,sourashtra,,,'ꢦꢬꢗꢫ':1 'parichay':2 'paricay':3 'introduction':4 'அற':5 'கம':6,abstract|concept|idea,पर्चय|பரிசய்|parichay|paricay|paricay|pəɾɪt͡ʃəj,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,introduction,english,,english,,abstract|concept|idea,,noun,
^,,அறிமுகம்,tamil,,tamil,'அறமகம':1 'introduction':2 'அற':3 'கம':4,abstract|concept|idea,பரிசய்,noun,
-,ꢂ,ꢂꢒ꣄ꢛꢵꢥ꣄,sourashtra,,,'ꢂꢒꢛꢥ':1 'aknjaan':2 'akjan':3 'akñān':4 'ignorance':5 'அற':6,abstract|concept|idea,अकञान्|அக்ஞான்|aknjaan|akJAn|akñān|əkɲɑːn̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,ignorance,english,,english,,abstract|concept|idea,,noun,
^,,அறியாமை,tamil,,tamil,'அறயம':1 'ignorance':2 'அற':3,abstract|concept|idea,அக்ஞான்,noun,
-,ꢛ,ꢛꢵꢥꢶ,sourashtra,,,'ꢛꢥ':1 'nyaani':2 'jani':3 'ñāni':4 'wise':5 'person':6 'அற':7,abstract|concept|idea|person,ञानि|ஞானி|nyaani|JAni|ñāni|ɲɑːn̪ɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""concrete""""}"
^,,wise person,english,,english,,abstract|concept|idea|person,,noun,
^,,அறிவாளி,tamil,,tamil,'அறவள':1 'wise':2 'person':3 'அற':4,abstract|concept|idea|person,ஞானி,noun,
-,ꢂ,ꢂꢙ꣄ꢛꢵꢥꢶ,sourashtra,,,'ꢂꢙꢛꢥ':1 'ajnyaani':2 'ajjani':3 'ajñāni':4 'ignorant':5 'அற':6,abstract|concept|idea,अजञानि|அஜ்ஞானி|ajnyaani|ajJAni|ajñāni|əd͡ʒɲɑːn̪ɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,ignorant,english,,english,,abstract|concept|idea,,noun,
^,,அறிவிலி,tamil,,tamil,'அறவல':1 'ignorant':2 'அற':3,abstract|concept|idea,அஜ்ஞானி,noun,
-,ꢂ,ꢂꢙ꣄꣄ꢛꢵꢥ꣄,sourashtra,,,'ꢂꢙꢛꢥ':1 'ajnyaan':2 'ajjan':3 'ajñān':4 'ignorance':5 'அற':6,abstract|concept|idea,अजञान्|அஜ்ஞான்|ajnyaan|ajJAn|ajñān|əd͡ʒɲɑːn̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,அறிவின்மை,tamil,,tamil,'அறவனம':1 'ignorance':2 'அற':3,abstract|concept|idea,அஜ்ஞான்,noun,
-,ꢛ,ꢛꢵꢥ꣄,sourashtra,,,'ꢛꢥ':1 'nyaan':2 'jan':3 'ñān':4 'knowledge':5 'அற':6,abstract|concept|idea,ञान्|ஞான்|nyaan|JAn|ñān|ɲɑːn̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,knowledge,english,,english,,abstract|concept|idea,,noun,
^,,அறிவு,tamil,,tamil,'அறவ':1 'knowledge':2 'அற':3,abstract|concept|idea,ஞான்,noun,
